# Receiving,Rushing,Fumbles
# PID,TID,Season,Week,Rec,Tgt,Yds,Y/R,Lng,TD,Att,Yds,Y/A,Lng,TD,Fum,FumL
HOUTE002,PIT,2001,6,1,N/A,2,2.0,2,0,0,0,N/A,N/A,0,0,0
NORTE015,WAS,2001,6,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
DETTE005,DET,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,1
DENTE010,BAL,2001,6,6,N/A,61,10.2,20,0,0,0,N/A,N/A,0,0,0
BUFTE017,TAM,2001,6,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
CHITE004,CHI,2001,6,1,N/A,1,1.0,1,1,0,0,N/A,N/A,0,0,0
CHITE001,CHI,2001,6,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
NORTE009,DET,2001,6,3,N/A,41,13.7,26,0,0,0,N/A,N/A,0,0,0
WASTE005,CIN,2001,6,4,N/A,57,14.3,17,0,0,0,N/A,N/A,0,0,0
PITTE005,BUF,2001,6,5,N/A,53,10.6,24,0,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,6,3,N/A,56,18.7,28,0,0,0,N/A,N/A,0,0,0
NORTE008,STL,2001,6,1,N/A,16,16.0,16,0,0,0,N/A,N/A,0,1,1
WASTE010,MIN,2001,6,3,N/A,26,8.7,12,0,0,0,N/A,N/A,0,0,0
JACTE003,DET,2001,6,1,N/A,12,12.0,12,0,0,0,N/A,N/A,0,0,0
SEATE007,IND,2001,6,3,N/A,61,20.3,24,0,0,0,N/A,N/A,0,0,0
GNBTE009,CAR,2001,6,3,N/A,15,5.0,8,1,0,0,N/A,N/A,0,0,0
ARITE003,ARI,2001,7,1,N/A,11,11.0,11,0,0,0,N/A,N/A,0,0,0
OAKTE001,OAK,2001,7,1,N/A,1,1.0,1,0,0,0,N/A,N/A,0,0,0
SEATE011,SEA,2001,7,2,N/A,16,8.0,15,1,0,0,N/A,N/A,0,0,0
STLTE012,OAK,2001,7,3,N/A,16,5.3,9,0,0,0,N/A,N/A,0,0,0
DETTE008,KAN,2001,7,2,N/A,14,7.0,9,0,0,0,N/A,N/A,0,0,0
PHITE007,PHI,2001,7,2,N/A,27,13.5,23,0,0,0,N/A,N/A,0,0,0
DENTE009,DEN,2001,7,1,N/A,0,0.0,0,0,0,0,N/A,N/A,0,0,0
STLTE007,NOR,2001,7,4,N/A,43,10.8,14,0,0,0,N/A,N/A,0,1,1
MINTE007,MIN,2001,7,1,N/A,4,4.0,4,0,2,8,4.0,7,0,0,0
CHITE006,DEN,2001,7,6,N/A,94,15.7,35,0,0,0,N/A,N/A,0,0,0
WASTE007,WAS,2001,7,2,N/A,32,16.0,17,0,0,0,N/A,N/A,0,0,0
NORTE004,SFO,2001,7,2,N/A,24,12.0,13,0,0,0,N/A,N/A,0,0,0
NORTE002,NOR,2001,7,1,N/A,3,3.0,3,0,0,0,N/A,N/A,0,0,0
ARITE017,ARI,2001,7,2,N/A,8,4.0,6,0,0,0,N/A,N/A,0,0,0
SFOTE005,SFO,2001,7,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
NWETE005,MIA,2001,7,1,N/A,12,12.0,12,0,0,0,N/A,N/A,0,0,0
SFOTE008,SFO,2001,7,1,N/A,1,1.0,1,1,0,0,N/A,N/A,0,0,0
TENTE011,TEN,2001,7,1,N/A,6,6.0,6,0,0,0,N/A,N/A,0,0,0
ATLTE003,KAN,2001,7,3,N/A,75,25.0,35,1,0,0,N/A,N/A,0,0,0
ARITE005,SDG,2001,7,2,N/A,5,2.5,4,1,0,0,N/A,N/A,0,0,0
CHITE004,CHI,2001,7,3,N/A,29,9.7,19,0,0,0,N/A,N/A,0,0,0
TENTE009,TEN,2001,7,3,N/A,41,13.7,25,1,0,0,N/A,N/A,0,0,0
TAMTE007,IND,2001,7,2,N/A,20,10.0,16,0,0,0,N/A,N/A,0,0,0
DALTE003,CIN,2001,7,1,N/A,25,25.0,25,0,0,0,N/A,N/A,0,0,0
PHITE001,PHI,2001,7,1,N/A,11,11.0,11,0,0,0,N/A,N/A,0,0,0
