# Tackles,Sacks,Interceptions,Misc
# PID,TID,Season,Week,Solo,Ast,Tot,Sacks,Yds,Int,Yds,TD,FrcdFum,PassDef
TAMDE0037,TAM,2001,4,1,0,1,0.0,0,0,0,0,0,0
INDDE0250,TAM,2001,4,2,0,2,0.0,0,0,0,0,0,0
WASDE0171,OAK,2001,4,2,1,3,0.0,0,0,0,0,0,0
MIADE0159,BAL,2001,4,2,0,2,0.0,0,0,0,0,0,0
TENDE0482,TEN,2001,5,0,2,2,0.0,0,0,0,0,0,0
CARDE0100,OAK,2001,5,1,0,1,0.0,0,0,0,0,0,0
MINDE0152,GNB,2001,5,1,0,1,0.0,0,0,0,0,0,0
SEADE0106,SEA,2001,5,2,2,4,0.0,0,0,0,0,0,0
SEADE0326,ATL,2001,5,3,1,4,1.0,2,0,0,0,0,0
ARIDE0028,ARI,2001,5,1,0,1,0.0,0,0,0,0,0,0
NORDE0237,OAK,2001,5,0,1,1,0.0,0,0,0,0,0,0
CARDE0330,CAR,2001,5,7,0,7,2.0,20,0,0,0,0,1
NYJDE0190,KAN,2001,5,4,0,4,1.5,13,0,0,0,0,0
TAMDE0305,CLE,2001,5,2,0,2,0.0,0,0,0,0,0,1
MINDE0209,MIA,2001,5,2,2,4,0.0,0,0,0,0,0,0
ARIDE0365,GNB,2001,5,1,2,3,0.0,0,0,0,0,0,0
CARDE0023,CAR,2001,5,1,0,1,0.0,0,0,0,0,0,0
WASDE0018,WAS,2001,5,3,0,3,0.0,0,0,0,0,0,0
NYGDE0159,MIA,2001,5,2,0,2,1.0,9,0,0,0,0,0
STLDE0421,STL,2001,5,1,0,1,1.0,4,0,0,0,0,0
NYGDE0161,ATL,2001,5,1,0,1,0.0,0,0,0,0,0,0
PITDE0385,PIT,2001,5,2,0,2,1.0,4,0,0,0,0,0
ARIDE0095,DAL,2001,5,4,2,6,1.0,8,0,0,0,0,0
NWEDE0631,SFO,2001,5,2,2,4,0.0,0,0,0,0,0,0
OAKDE0526,NWE,2001,5,1,1,2,0.0,0,0,0,0,0,0
STLDE0545,DET,2001,5,1,1,2,0.5,3,0,0,0,0,0
NYGDE0037,NYG,2001,5,2,0,2,0.0,0,0,0,0,0,0
TAMDE0307,MIN,2001,5,0,1,1,0.0,0,0,0,0,0,0
CHIDE0078,SFO,2001,5,1,1,2,1.0,6,0,0,0,0,0
HOUDE0208,WAS,2001,5,2,0,2,1.0,2,0,0,0,0,1
SFODE0419,DAL,2001,5,1,0,1,0.0,0,0,0,0,0,0
GNBDE0342,GNB,2001,5,1,0,1,0.0,0,0,0,0,0,0
DENDE0336,SFO,2001,5,2,0,2,0.0,0,0,0,0,0,1
