# Rushing,Receiving,Fumbles
# PID,TID,Season,Week,Att,Yds,Y/A,Lng,TD,Rec,Tgt,Yds,Y/R,Lng,TD,Fum,FumL
NYJRB017,SFO,2001,7,7,13,1.9,5,0,2,N/A,33,16.5,21,0,0,0
DENRB001,BUF,2001,7,10,24,2.4,11,1,2,N/A,8,4.0,8,0,0,0
DENRB016,NYJ,2001,7,1,2,2.0,2,0,0,N/A,0,N/A,N/A,0,0,0
DENRB011,PHI,2001,7,7,29,4.1,12,0,0,N/A,0,N/A,N/A,0,0,0
HOURB024,TAM,2001,7,2,2,1.0,2,0,0,N/A,0,N/A,N/A,0,0,0
OAKRB001,IND,2001,7,4,87,21.8,77,1,0,N/A,0,N/A,N/A,0,0,0
JACRB010,JAC,2001,7,7,12,1.7,7,0,1,N/A,8,8.0,8,0,0,0
BALRB013,BAL,2001,7,19,82,4.3,23,1,2,N/A,12,6.0,9,0,0,0
BUFRB006,CHI,2001,7,27,127,4.7,19,1,2,N/A,9,4.5,6,0,0,0
NORRB015,NOR,2001,7,0,0,N/A,N/A,0,0,N/A,0,N/A,N/A,0,1,0
TENRB007,TEN,2001,7,5,27,5.4,21,0,2,N/A,7,3.5,6,0,0,0
BALRB010,DEN,2001,7,14,40,2.9,16,1,0,N/A,0,N/A,N/A,0,0,0
DALRB021,BUF,2001,7,1,4,4.0,4,0,0,N/A,0,N/A,N/A,0,0,0
ATLRB003,TAM,2001,7,8,30,3.8,17,0,2,N/A,51,25.5,35,1,0,0
CARRB012,CAR,2001,7,5,33,6.6,10,0,1,N/A,7,7.0,7,0,0,0
NYJRB001,SDG,2001,7,16,76,4.8,20,0,1,N/A,9,9.0,9,0,0,0
ARIRB004,DAL,2001,7,4,18,4.5,8,0,0,N/A,0,N/A,N/A,0,0,0
ARIRB021,PIT,2001,7,1,-2,-2.0,-2,0,0,N/A,0,N/A,N/A,0,0,0
TAMRB007,NYG,2001,7,0,0,N/A,N/A,0,5,N/A,29,5.8,13,1,0,0
PHIRB011,OAK,2001,7,0,0,N/A,N/A,0,2,N/A,15,7.5,8,0,0,0
SDGRB008,SDG,2001,7,2,7,3.5,5,0,4,N/A,44,11.0,27,0,0,0
NORRB020,WAS,2001,7,2,40,20.0,30,0,0,N/A,0,N/A,N/A,0,0,0
TAMRB002,OAK,2001,7,21,77,3.7,22,1,3,N/A,18,6.0,11,0,0,0
NORRB012,MIA,2001,7,21,35,1.7,7,1,1,N/A,1,1.0,1,0,0,0
TAMRB009,OAK,2001,7,17,47,2.8,10,1,0,N/A,0,N/A,N/A,0,0,0
NYJRB016,NYJ,2001,7,27,159,5.9,36,0,7,N/A,39,5.6,17,0,0,0
TAMRB010,TAM,2001,7,28,129,4.6,18,3,1,N/A,15,15.0,15,0,0,0
NYJRB008,KAN,2001,7,4,26,6.5,19,0,2,N/A,25,12.5,16,0,0,0
DETRB001,DET,2001,7,4,25,6.3,11,0,2,N/A,15,7.5,9,0,0,0
DETRB012,DET,2001,7,15,23,1.5,5,1,2,N/A,21,10.5,17,0,0,0
OAKRB013,OAK,2001,7,3,45,15.0,37,0,0,N/A,0,N/A,N/A,0,0,0
DENRB009,SFO,2001,7,12,46,3.8,10,0,4,N/A,105,26.3,60,1,0,0
BUFRB011,BAL,2001,7,0,0,N/A,N/A,0,2,N/A,19,9.5,13,0,0,0
NWERB011,BUF,2001,7,3,10,3.3,5,0,4,N/A,8,2.0,4,0,0,0
PITRB006,PIT,2001,7,19,62,3.3,12,2,0,N/A,0,N/A,N/A,0,0,0
OAKRB004,OAK,2001,7,2,15,7.5,12,0,1,N/A,8,8.0,8,0,0,0
