STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_FG_Pct,K_Lng,K_XPM,K_XPA,K_XP_Pct,K_Pts
MINKK002,GNB,2004,5,0,0,0,0,1,1,0,0,1,1,2,2,100.0,53,3,3,100.0,9
WASKK005,WAS,2004,5,0,0,1,1,0,0,0,0,0,0,1,1,100.0,26,1,1,100.0,4
INDKK002,NWE,2004,5,0,0,0,0,0,0,1,2,0,0,1,2,50.0,40,3,3,100.0,6
STLKK001,STL,2004,5,0,0,0,0,2,2,0,0,0,0,2,2,100.0,39,3,3,100.0,9
ATLKK001,SFO,2004,5,0,0,0,0,2,2,1,1,0,0,3,3,100.0,42,0,0,N/A,9
ATLKK004,MIN,2004,5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
WASKK004,DAL,2004,6,0,0,0,0,1,1,1,1,0,0,2,2,100.0,47,2,2,100.0,8
ATLKK003,MIA,2004,6,0,0,1,1,0,0,1,1,0,0,2,2,100.0,47,1,1,100.0,7
NORKK004,CIN,2004,6,0,0,0,0,1,1,0,1,0,0,1,2,50.0,32,2,2,100.0,5
ARIKK001,ATL,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100.0,3
MINKK001,CHI,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100.0,46,1,1,100.0,4
TAMKK001,BUF,2004,6,0,0,1,1,0,0,1,2,0,0,2,3,66.7,43,2,2,100.0,8
SFOKK001,PIT,2004,6,0,0,0,0,0,0,0,0,1,1,1,1,100.0,51,3,3,100.0,6
NYGKK003,SEA,2004,6,0,0,1,1,2,2,1,1,0,0,4,4,100.0,40,0,0,N/A,12
NYGKK001,KAN,2004,6,0,0,0,0,1,1,0,1,0,0,1,2,50.0,31,1,2,50.0,4
WASKK006,WAS,2004,6,0,0,1,1,0,0,1,1,0,0,2,2,100.0,41,1,1,100.0,7
JACKK001,JAC,2004,6,0,0,0,0,0,0,0,0,0,1,0,1,0.0,N/A,2,2,100.0,2
MIAKK001,SDG,2004,6,0,0,1,1,0,0,0,0,1,1,2,2,100.0,53,2,2,100.0,8
BALKK003,MIN,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
OAKKK001,OAK,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100.0,35,0,0,N/A,3
SDGKK001,HOU,2004,6,0,0,1,1,0,0,0,0,1,1,2,2,100.0,50,2,2,100.0,8
ATLKK002,DEN,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100.0,33,4,4,100.0,7
CHIKK003,NYJ,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100.0,43,1,1,100.0,4
DETKK002,DET,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100.0,48,1,1,100.0,4
NORKK002,CAR,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
TENKK001,TEN,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100.0,40,1,1,100.0,4
NYGKK002,NOR,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100.0,45,4,4,100.0,7
ATLKK001,SFO,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
STLKK001,STL,2004,6,0,0,0,0,0,0,0,1,0,1,0,2,0.0,N/A,4,4,100.0,4
DETKK001,PHI,2004,6,0,0,0,0,1,1,2,2,0,0,3,3,100.0,48,3,3,100.0,12
NORKK003,TAM,2004,6,0,0,0,0,0,1,0,1,0,0,0,2,0.0,N/A,3,3,100.0,3
SFOKK003,CLE,2004,6,0,0,1,1,1,1,0,0,0,0,2,2,100.0,33,4,4,100.0,10
MINKK002,GNB,2004,6,0,0,0,0,0,0,0,0,1,1,1,1,100.0,50,5,5,100.0,8
INDKK002,NWE,2004,6,0,0,0,0,2,2,1,1,0,0,3,3,100.0,40,3,3,100.0,12
ATLKK004,MIN,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100.0,39,5,5,100.0,8
TAMKK001,BUF,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100.0,24,0,0,N/A,6
ARIKK001,ATL,2004,7,1,1,0,0,0,0,0,0,0,0,1,1,100.0,19,1,1,100.0,4
MINKK001,CHI,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
HOUKK002,ARI,2004,7,0,0,0,0,0,0,0,0,3,3,3,3,100.0,55,2,2,100.0,11
NORKK003,TAM,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100.0,22,1,1,100.0,7
OAKKK001,OAK,2004,7,0,0,1,1,0,0,3,3,0,0,4,4,100.0,44,2,2,100.0,14
NORKK004,CIN,2004,7,0,0,0,0,2,2,0,0,1,1,3,3,100.0,53,2,2,100.0,11
WASKK004,DAL,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100.0,46,2,2,100.0,8
JACKK001,JAC,2004,7,0,0,2,2,1,1,0,0,1,1,4,4,100.0,53,1,1,100.0,13
NYGKK001,KAN,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,8,8,100.0,8
MIAKK001,SDG,2004,7,0,0,0,1,0,0,1,1,0,0,1,2,50.0,44,2,2,100.0,5
BALKK003,MIN,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
ATLKK003,MIA,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100.0,43,4,4,100.0,7
NYGKK003,SEA,2004,7,0,0,0,0,0,0,0,0,1,1,1,1,100.0,54,2,2,100.0,5
DETKK001,PHI,2004,7,0,0,0,0,1,1,0,0,1,1,2,2,100.0,50,4,4,100.0,10
DALKK003,IND,2004,7,0,0,0,0,1,1,0,0,0,0,1,1,100.0,34,3,3,100.0,6
NORKK002,CAR,2004,7,0,0,2,2,0,0,0,1,0,0,2,3,66.7,28,0,0,N/A,6
DETKK002,DET,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100.0,4
INDKK003,BAL,2004,7,1,1,1,1,0,0,0,0,0,1,2,3,66.7,24,2,2,100.0,8
NYGKK004,NYG,2004,7,1,1,1,1,0,0,0,0,0,0,2,2,100.0,25,1,1,100.0,7
TENKK001,TEN,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100.0,40,0,0,N/A,3
NYGKK002,NOR,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100.0,41,4,4,100.0,7
ATLKK002,DEN,2004,7,0,0,1,1,0,0,0,1,0,0,1,2,50.0,29,1,1,100.0,4
CHIKK003,NYJ,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100.0,1
SFOKK003,CLE,2004,7,0,0,0,0,1,1,0,0,0,0,1,1,100.0,38,4,4,100.0,7
BALKK002,BAL,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
MINKK002,GNB,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100.0,40,5,5,100.0,11
INDKK002,NWE,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100.0,41,1,1,100.0,7
STLKK001,STL,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100.0,2
ATLKK004,MIN,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100.0,29,2,2,100.0,8
NORKK004,CIN,2004,8,0,0,1,1,0,0,0,0,1,1,2,2,100.0,50,2,2,100.0,8
