STATS,,,,,,,,,,,,,,,,,,,,,
PID,TID,Season,Week,K_0_19_Att,K_0_19_made,K_20_29_Att,K_20_29_made,K_30_39_Att, K_30_39_made,K_40_49_Att,K_40_49_made, K_50_Att, K_50_made,K_FGM,K_FGA,K_Pct,K_Lng,K_XPM,K_XPA,K_Pct,K_Pts
OAKKK0160,OAK,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100,35,0,0,N/A,3
SDGKK0106,HOU,2004,6,0,0,1,1,0,0,0,0,1,1,2,2,100,50,2,2,100,8
ATLKK0089,DEN,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100,33,4,4,100,7
CHIKK0019,NYJ,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100,43,1,1,100,4
DETKK0144,DET,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100,48,1,1,100,4
NORKK0133,CAR,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
TENKK0016,TEN,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100,40,1,1,100,4
NORKK0106,NOR,2004,6,0,0,0,0,0,0,1,1,0,0,1,1,100,45,4,4,100,7
ATLKK0032,SFO,2004,6,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
STLKK0064,STL,2004,6,0,0,0,0,0,0,0,1,0,1,0,2,0,N/A,4,4,100,4
DETKK0160,PHI,2004,6,0,0,0,0,1,1,2,2,0,0,3,3,100,48,3,3,100,12
NORKK0074,TAM,2004,6,0,0,0,0,0,1,0,1,0,0,0,2,0,N/A,3,3,100,3
SFOKK0159,CLE,2004,6,0,0,1,1,1,1,0,0,0,0,2,2,100,33,4,4,100,10
MINKK0143,GNB,2004,6,0,0,0,0,0,0,0,0,1,1,1,1,100,50,5,5,100,8
INDKK0180,NWE,2004,6,0,0,0,0,2,2,1,1,0,0,3,3,100,40,3,3,100,12
ATLKK0062,MIN,2004,6,0,0,0,0,1,1,0,0,0,0,1,1,100,39,5,5,100,8
TAMKK0159,BUF,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100,24,0,0,N/A,6
ARIKK0164,ATL,2004,7,1,1,0,0,0,0,0,0,0,0,1,1,100,19,1,1,100,4
MINKK0047,CHI,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100,1
HOUKK0128,ARI,2004,7,0,0,0,0,0,0,0,0,3,3,3,3,100,55,2,2,100,11
NORKK0074,TAM,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100,22,1,1,100,7
OAKKK0160,OAK,2004,7,0,0,1,1,0,0,3,3,0,0,4,4,100,44,2,2,100,14
NORKK0165,CIN,2004,7,0,0,0,0,2,2,0,0,1,1,3,3,100,53,2,2,100,11
CLEKK0160,DAL,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100,46,2,2,100,8
JACKK0160,JAC,2004,7,0,0,2,2,1,1,0,0,1,1,4,4,100,53,1,1,100,13
NYGKK0145,KAN,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,8,8,100,8
MIAKK0143,SDG,2004,7,0,0,0,1,0,0,1,1,0,0,1,2,50,44,2,2,100,5
BALKK0049,MIN,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
ATLKK0158,MIA,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100,43,4,4,100,7
NYGKK0161,SEA,2004,7,0,0,0,0,0,0,0,0,1,1,1,1,100,54,2,2,100,5
DETKK0160,PHI,2004,7,0,0,0,0,1,1,0,0,1,1,2,2,100,50,4,4,100,10
DALKK0045,IND,2004,7,0,0,0,0,1,1,0,0,0,0,1,1,100,34,3,3,100,6
NORKK0133,CAR,2004,7,0,0,2,2,0,0,0,1,0,0,2,3,66.7,28,0,0,N/A,6
DETKK0144,DET,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
INDKK0117,BAL,2004,7,1,1,1,1,0,0,0,0,0,1,2,3,66.7,24,2,2,100,8
NYGKK0016,NYG,2004,7,1,1,1,1,0,0,0,0,0,0,2,2,100,25,1,1,100,7
TENKK0016,TEN,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100,40,0,0,N/A,3
NORKK0106,NOR,2004,7,0,0,0,0,0,0,1,1,0,0,1,1,100,41,4,4,100,7
ATLKK0089,DEN,2004,7,0,0,1,1,0,0,0,1,0,0,1,2,50,29,1,1,100,4
CHIKK0019,NYJ,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,1,1,100,1
SFOKK0159,CLE,2004,7,0,0,0,0,1,1,0,0,0,0,1,1,100,38,4,4,100,7
BALKK0028,BAL,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
MINKK0143,GNB,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100,40,5,5,100,11
INDKK0180,NWE,2004,7,0,0,1,1,0,0,1,1,0,0,2,2,100,41,1,1,100,7
STLKK0064,STL,2004,7,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
ATLKK0062,MIN,2004,7,0,0,2,2,0,0,0,0,0,0,2,2,100,29,2,2,100,8
NORKK0165,CIN,2004,8,0,0,1,1,0,0,0,0,1,1,2,2,100,50,2,2,100,8
CLEKK0160,DAL,2004,8,0,0,0,0,0,0,1,1,0,0,1,1,100,40,4,4,100,7
ARIKK0164,ATL,2004,8,0,0,1,1,0,0,1,2,0,0,2,3,66.7,43,5,5,100,11
TAMKK0159,BUF,2004,8,0,0,1,1,0,0,0,0,0,0,1,1,100,25,5,5,100,8
HOUKK0128,ARI,2004,8,0,0,0,0,0,0,0,0,0,1,0,1,0,N/A,2,2,100,2
MINKK0047,CHI,2004,8,0,0,1,1,0,0,1,1,1,2,3,4,75,52,2,2,100,11
ATLKK0158,MIA,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
SFOKK0111,PIT,2004,8,1,1,1,1,0,0,0,0,0,0,2,2,100,29,4,4,100,10
NYGKK0145,KAN,2004,8,0,0,0,0,1,1,0,0,0,0,1,1,100,32,6,6,100,9
WASKK0010,WAS,2004,8,0,0,0,0,0,1,0,0,0,0,0,1,0,N/A,2,2,100,2
JACKK0160,JAC,2004,8,0,0,0,0,1,1,1,2,0,0,2,3,66.7,44,0,0,N/A,6
MIAKK0143,SDG,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,6,6,100,6
NYGKK0161,SEA,2004,8,0,0,2,2,0,0,1,1,0,0,3,3,100,45,2,2,100,11
BALKK0049,MIN,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
OAKKK0160,OAK,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,2,2,100,2
SDGKK0106,HOU,2004,8,0,0,1,1,1,1,0,0,0,0,2,2,100,38,2,2,100,8
DETKK0144,DET,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,3,3,100,3
ATLKK0089,DEN,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,4,4,100,4
NORKK0133,CAR,2004,8,0,0,0,0,1,1,0,0,0,0,1,1,100,30,2,2,100,5
INDKK0117,BAL,2004,8,0,0,0,0,0,0,1,1,0,0,1,1,100,44,1,1,100,4
TENKK0016,TEN,2004,8,0,0,1,1,0,0,1,1,0,0,2,2,100,45,3,3,100,9
NYGKK0016,NYG,2004,8,0,0,0,0,1,1,0,0,1,1,2,2,100,50,4,4,100,10
CHIKK0019,NYJ,2004,8,0,0,0,0,0,0,2,2,0,0,2,2,100,49,5,5,100,11
ATLKK0032,SFO,2004,8,0,0,0,0,0,0,1,1,1,2,2,3,66.7,51,1,1,100,7
DALKK0045,IND,2004,8,0,0,0,0,0,0,0,0,0,1,0,1,0,N/A,5,5,100,5
DETKK0160,PHI,2004,8,0,0,1,1,0,0,2,2,0,0,3,3,100,43,0,0,N/A,9
BALKK0028,BAL,2004,8,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0,0,N/A,0
MINKK0143,GNB,2004,8,0,0,0,0,2,2,0,0,0,0,2,2,100,39,2,2,100,8
INDKK0180,NWE,2004,8,0,0,1,1,0,0,1,1,0,0,2,2,100,43,2,2,100,8
ATLKK0062,MIN,2004,8,0,0,0,0,0,1,0,0,0,0,0,1,0,N/A,1,1,100,1
