STATS,,,,,,,,,,,,,,,,
PID,TID,Season,Week,Rec,REC_Tgt,REC_Yds,REC_YPR,REC_Lng,REC_TD,RUN_Att,RUN_Yds,RUN_YPA,RUN_Lng,RUN_TD,Fum,FumLost
ATLTE0235,ATL,2001,5,1,N/A,9,9,9,0,0,0,N/A,N/A,0,0,0
DETTE0060,KAN,2001,5,2,N/A,30,15,23,0,0,0,N/A,N/A,0,0,0
STLTE0090,OAK,2001,5,1,N/A,14,14,14,0,0,0,N/A,N/A,0,0,0
ARITE0012,ARI,2001,5,1,N/A,10,10,10,0,0,0,N/A,N/A,0,0,0
NWETE0097,MIA,2001,5,2,N/A,13,6.5,7,0,0,0,N/A,N/A,0,0,0
SFOTE0040,SFO,2001,5,1,N/A,8,8,8,0,0,0,N/A,N/A,0,0,0
NWETE0246,ATL,2001,5,2,N/A,58,29,47,0,0,0,N/A,N/A,0,0,0
BUFTE0208,GNB,2001,5,1,N/A,9,9,9,0,0,0,N/A,N/A,0,0,0
ARILB0435,SFO,2001,5,3,N/A,11,3.7,6,0,0,0,N/A,N/A,0,0,0
MINTE0163,NWE,2001,5,1,N/A,3,3,3,1,0,0,N/A,N/A,0,0,0
TENTE0151,TEN,2001,5,1,N/A,1,1,1,0,0,0,N/A,N/A,0,0,0
NYJTE0151,GNB,2001,5,2,N/A,4,2,2,2,0,0,N/A,N/A,0,0,0
KANTE0271,NYJ,2001,5,4,N/A,31,7.8,14,0,0,0,N/A,N/A,0,0,0
STLTE0099,NOR,2001,5,3,N/A,38,12.7,16,2,0,0,N/A,N/A,0,0,0
DENTE0086,DEN,2001,5,1,N/A,0,0,0,0,0,0,N/A,N/A,0,0,0
HOUTE0096,PIT,2001,5,1,N/A,6,6,6,0,0,0,N/A,N/A,0,0,0
CARTE0157,SEA,2001,5,1,N/A,12,12,12,0,0,0,N/A,N/A,0,0,0
CHITE0033,CHI,2001,5,3,N/A,26,8.7,14,0,0,0,N/A,N/A,0,0,0
TAMTE0097,IND,2001,5,1,N/A,11,11,11,0,0,0,N/A,N/A,0,0,0
TENTE0085,TEN,2001,5,4,N/A,38,9.5,18,0,0,0,N/A,N/A,0,0,0
DENTE0059,BAL,2001,5,5,N/A,41,8.2,13,0,0,0,N/A,N/A,0,0,0
TAMTE0152,TAM,2001,5,2,N/A,13,6.5,8,1,0,0,N/A,N/A,0,0,0
STLTE0092,STL,2001,5,1,N/A,3,3,3,0,0,0,N/A,N/A,0,0,0
NORTE0037,DET,2001,5,4,N/A,63,15.8,23,0,0,0,N/A,N/A,0,0,0
JACTE0047,DET,2001,5,1,N/A,4,4,4,0,0,0,N/A,N/A,0,0,0
MINTE0073,MIA,2001,5,2,N/A,14,7,9,0,0,0,N/A,N/A,0,0,0
ARITE0069,SDG,2001,5,2,N/A,15,7.5,8,0,0,0,N/A,N/A,0,0,0
ATLTE0305,KAN,2001,5,5,N/A,46,9.2,11,0,0,0,N/A,N/A,0,0,0
WASTE0020,CIN,2001,5,1,N/A,3,3,3,0,0,0,N/A,N/A,0,1,0
NORTE0116,STL,2001,5,1,N/A,10,10,10,0,0,0,N/A,N/A,0,0,0
SEATE0155,IND,2001,5,5,N/A,53,10.6,28,0,0,0,N/A,N/A,0,0,0
WASTE0047,MIN,2001,5,2,N/A,20,10,16,0,0,0,N/A,N/A,0,0,0
GNBTE0082,CAR,2001,5,5,N/A,61,12.2,23,1,0,0,N/A,N/A,0,0,0
TENTE0085,TEN,2001,6,7,N/A,100,14.3,29,1,1,1,1,1,0,0,0
DETTE0060,KAN,2001,6,2,N/A,29,14.5,19,0,0,0,N/A,N/A,0,0,0
ARITE0012,ARI,2001,6,1,N/A,1,1,1,0,0,0,N/A,N/A,0,0,0
MINTE0282,MIN,2001,6,1,N/A,6,6,6,0,5,20,4,11,1,0,0
STLTE0099,NOR,2001,6,1,N/A,19,19,19,1,0,0,N/A,N/A,0,0,0
ATLTE0140,DET,2001,6,0,N/A,0,N/A,N/A,0,0,0,N/A,N/A,0,1,0
PHITE0119,PHI,2001,6,1,N/A,15,15,15,0,0,0,N/A,N/A,0,0,0
DENTE0086,DEN,2001,6,1,N/A,12,12,12,0,0,0,N/A,N/A,0,0,0
CLETE0221,SDG,2001,6,1,N/A,6,6,6,0,0,0,N/A,N/A,0,0,0
JACTE0008,JAC,2001,6,2,N/A,25,12.5,13,0,0,0,N/A,N/A,0,0,0
CHITE0210,DEN,2001,6,6,N/A,54,9,13,1,0,0,N/A,N/A,0,0,0
CLETE0122,CLE,2001,6,1,N/A,2,2,2,0,0,0,N/A,N/A,0,0,0
MINTE0163,NWE,2001,6,1,N/A,2,2,2,1,0,0,N/A,N/A,0,0,0
